,year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
0,2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,97.4,96.1,3701.0,3200.0,3727.0,3350.0,2900,4000
1,2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),97.1,95.7,2850.0,2700.0,2938.0,2700.0,2700,2900
2,2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),90.9,85.7,3053.0,3000.0,3214.0,3000.0,2700,3500
3,2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,87.5,87.5,3557.0,3400.0,3615.0,3400.0,3000,4100
4,2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,95.3,95.3,3494.0,3500.0,3536.0,3500.0,3100,3816
5,2013,Nanyang Technological University,College of Engineering,Bioengineering,81.3,68.8,2952.0,2900.0,3166.0,3125.0,2893,3365
6,2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,87.3,85.1,3235.0,3000.0,3377.0,3200.0,3000,3800
7,2013,Nanyang Technological University,College of Engineering,Computer Engineering,90.3,88.2,3326.0,3100.0,3374.0,3175.0,3000,3600
8,2013,Nanyang Technological University,College of Engineering,Civil Engineering,94.8,93.8,3091.0,3000.0,3182.0,3100.0,3000,3380
9,2013,Nanyang Technological University,College of Engineering,Computer Science,92.1,88.5,3249.0,3000.0,3306.0,3125.0,3000,3600
